role,permission(action),description
User Administrator,microsoft.directory/users/userPrincipalName/update,"Update User Principal Name of users"
User Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
User Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
User Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
User Experience Success Manager,microsoft.commerce.billing/purchases/standard/read,"Read purchase services in Microsoft 365 admin center."
User Experience Success Manager,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
User Experience Success Manager,microsoft.office365.network/performance/allProperties/read,"Read all network performance properties in the Microsoft 365 admin center"
User Experience Success Manager,microsoft.office365.organizationalMessages/allEntities/allProperties/read,"Read all aspects of Microsoft 365 Organizational Messages"
User Experience Success Manager,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
User Experience Success Manager,microsoft.office365.usageReports/allEntities/standard/read,"Read tenant-level aggregated Office 365 usage reports"
User Experience Success Manager,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Virtual Visits Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Virtual Visits Administrator,microsoft.virtualVisits/allEntities/allProperties/allTasks,"Manage and share Virtual Visits information and metrics from admin centers or the Virtual Visits app"
Viva Glint Tenant Administrator,microsoft.azure.serviceHealth/allEntities/allTasks,"Read and configure Azure Service Health"
Viva Glint Tenant Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Viva Glint Tenant Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Viva Glint Tenant Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Viva Glint Tenant Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
Viva Glint Tenant Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Viva Glint Tenant Administrator,microsoft.viva.glint/allEntities/allProperties/allTasks,"Manage and configure all Microsoft Viva Glint settings in the Microsoft 365 admin center"
Viva Goals Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Viva Goals Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Viva Goals Administrator,microsoft.viva.goals/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft Viva Goals"
Viva Pulse Administrator,microsoft.office365.messageCenter/messages/read,"Read messages in Message Center in the Microsoft 365 admin center, excluding security messages"
Viva Pulse Administrator,microsoft.office365.serviceHealth/allEntities/allTasks,"Read and configure Service Health in the Microsoft 365 admin center"
Viva Pulse Administrator,microsoft.office365.supportTickets/allEntities/allTasks,"Create and manage Microsoft 365 service requests"
Viva Pulse Administrator,microsoft.office365.usageReports/allEntities/allProperties/read,"Read Office 365 usage reports"
Viva Pulse Administrator,microsoft.office365.webPortal/allEntities/standard/read,"Read basic properties on all resources in the Microsoft 365 admin center"
Viva Pulse Administrator,microsoft.viva.pulse/allEntities/allProperties/allTasks,"Manage all aspects of Microsoft Viva Pulse"
Windows 365 Administrator,microsoft.azure.supportTickets/allEntities/allTasks,"Create and manage Azure support tickets"
Windows 365 Administrator,microsoft.cloudPC/allEntities/allProperties/allTasks,"Manage all aspects of Windows 365"
Windows 365 Administrator,microsoft.directory/deletedItems.devices/delete,"Permanently delete devices, which can no longer be restored"
Windows 365 Administrator,microsoft.directory/deletedItems.devices/restore,"Restore soft deleted devices to original state"
Windows 365 Administrator,microsoft.directory/deviceManagementPolicies/standard/read,"Read standard properties on mobile device management and mobile app management policies"
Windows 365 Administrator,microsoft.directory/deviceRegistrationPolicy/standard/read,"Read standard properties on device registration policies"
Windows 365 Administrator,microsoft.directory/devices/basic/update,"Update basic properties on devices"
Windows 365 Administrator,microsoft.directory/devices/create,"Create devices (enroll in Microsoft Entra ID)"
Windows 365 Administrator,microsoft.directory/devices/delete,"Delete devices from Microsoft Entra ID"
Windows 365 Administrator,microsoft.directory/devices/disable,"Disable devices in Microsoft Entra ID"
Windows 365 Administrator,microsoft.directory/devices/enable,"Enable devices in Microsoft Entra ID"
Windows 365 Administrator,microsoft.directory/devices/extensionAttributeSet1/update,"Update the extensionAttribute1 to extensionAttribute5 properties on devices"
Windows 365 Administrator,microsoft.directory/devices/extensionAttributeSet2/update,"Update the extensionAttribute6 to extensionAttribute10 properties on devices"
Windows 365 Administrator,microsoft.directory/devices/extensionAttributeSet3/update,"Update the extensionAttribute11 to extensionAttribute15 properties on devices"
Windows 365 Administrator,microsoft.directory/devices/registeredOwners/update,"Update registered owners of devices"
Windows 365 Administrator,microsoft.directory/devices/registeredUsers/update,"Update registered users of devices"
Windows 365 Administrator,microsoft.directory/groups.security/assignedLabels/update,"Update the assigned labels property on Security groups of assigned membership type, excluding role-assignable groups"
Windows 365 Administrator,microsoft.directory/groups.security/basic/update,"Update basic properties on Security groups, excluding role-assignable groups"
Windows 365 Administrator,microsoft.directory/groups.security/classification/update,"Update the classification property on Security groups, excluding role-assignable groups"
Windows 365 Administrator,microsoft.directory/groups.security/create,"Create Security groups, excluding role-assignable groups"
Windows 365 Administrator,microsoft.directory/groups.security/delete,"Delete Security groups, excluding role-assignable groups"
Windows 365 Administrator,microsoft.directory/groups.security/dynamicMembershipRule/update,"Update the dynamic membership rule on Security groups, excluding role-assignable groups"
Windows 365 Administrator,microsoft.directory/groups.security/members/update,"Update members of Security groups, excluding role-assignable groups"
Windows 365 Administrator,microsoft.directory/groups.security/owners/update,"Update owners of Security groups, excluding role-assignable groups"
Windows 365 Administrator,microsoft.directory/groups.security/visibility/update,"Update the visibility property on Security groups, excluding role-assignable groups"
